bucket,value,weight
博时标普500交易型开放式指数证券投资基金联接基金,96348.11,0.16665100156881602
博时纳斯达克100交易型开放式指数证券投资基金发起式联接基金（QDII）,51503.82,0.08908491497778231
广发纳指100ETF联接（QDII）人民币C,50913.96,0.08806464836554279
博时标普500交易型开放式指数证券投资基金联接基金,40297.63,0.06970183847248863
易方达瑞智灵活配置混合型证券投资基金I类,38229.96,0.06612543955388199
易方达新鑫灵活配置混合型证券投资基金E类,36281.69,0.06275556393487425
工银尊享短债债券A,30525.82,0.05279977445026576
富国全球债券（QDII）人民币A,23223.19,0.04016859150763738
广发多因子混合,21971.67,0.038003867555258815
摩根标普500人民币A,15275.6,0.0264218368119998
国泰黄金ETF联接C,12935.84,0.02237481038428209
国寿安保薪金宝货币A,12243.49,0.021177269291507463
兴全货币E,11151.9,0.019289172401983593
博时恒生科技交易型开放式指数证券投资基金发起式联接基金（QDII）,10761.1,0.018613215069628104
华安国际龙头（DAX）ETF联接C,10448.33,0.018072224345879826
易方达纳斯达克100ETF联接基金（LOF）A类人民币份额,10252.49,0.017733484622316623
易方达沪深300交易型开放式指数发起式证券投资基金联接基金A类,10181.43,0.017610573854565395
富国收益宝交易型货币A,9842.82,0.017024888306180305
中信保诚薪金宝货币市场基金A,9743.16,0.016852508808374397
摩根纳斯达克100人民币A,7665.05,0.013258052073621924
万家天添宝A,7332.75,0.012683280780014633
大成纳斯达克100ETF联接（QDII）A,6751.68,0.011678218018725471
国泰黄金ETF联接A,6580.01,0.011381284561086098
南方纳斯达克100指数发起式证券投资基金（QDII）,6473.82,0.011197610279809665
易方达中短期美元债债券型证券投资基金（QDII）人民币A类,5518.39,0.009545026057567072
易方达沪深300交易型开放式指数发起式证券投资基金联接基金C类,4951.41,0.00856433442937128
易方达易理财货币市场基金A类,4832.45,0.008358572187157848
国泰纳斯达克100指数基金,4695.84,0.008122281165732353
天弘标普500发起（QDII-FOF）D,3392.98,0.00586875565387802
华宝纳斯达克精选股票发起式（QDII）C,3147.72,0.0054445353485210405
博时现金宝货币市场基金,3000.22,0.005189408156805496
易方达标普500指数证券投资基金（LOF）A类人民币份额,2052.62,0.0035503672966722766
嘉实活期宝货币E,1430.24,0.002473851624944002
建信货币B,1403.71,0.0024279633239527245
摩根海外稳健配置人民币A,1293.24,0.0022368860299268522
华夏中证港股通央企红利交易型开放式指数证券投资基金发起式联接基金,1015.96,0.0017572815030191492
华安纳斯达克100ETF联接（QDII）A,979.71,0.0016945807525127867
长信美国标准普尔100等权重指数增强型基金,694.02,0.0012004296514876076
摩根欧洲动力策略A,521.95,0.0009028043234978198
摩根日本精选A,402.72,0.000696575068797858
易方达标普500指数证券投资基金（LOF）人民币C类,333.4,0.0005766739370709322
大成标普500等权重指数(QDII)A人民币,309.4,0.0005351617160460301
博时中证A500交易型开放式指数证券投资基金联接基金,199.27,0.0003446725118180104
大成纳斯达克100ETF联接（QDII）A,196.49,0.00033986401288262595
汇添富货币C,196.37,0.0003396564517775014
天弘标普500发起（QDII-FOF）A,191.34,0.0003309561821210323
华安国际龙头（DAX）ETF联接A,101.71,0.0001759253333517832
易方达标普500指数证券投资基金（LOF）A类人民币份额,99.65,0.0001723622010471458
华夏标普500交易型开放式指数证券投资基金发起式联接基金（QDII）,98.87,0.00017101305386383646
富国全球债券（QDII）人民币A,98.65,0.0001706325251711082
宝盈货币A,33.12,5.728686501436495e-05
富国上海金ETF联接C,15.08,2.6083512210646846e-05
博时研究精选一年持有期灵活配置混合型证券投资基金,1.79,3.0961198181072848e-06
汇添富和聚宝货币A,0.34,5.880897978527805e-07
南方天天利货币市场基金,0.01,1.7296758760375893e-08
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
